subsample,CAPM_alpha,CAPM_t,FF3_alpha,FF3_t,months
All,-0.359,-1.3,-0.372,-1.29,66
Small (bottom 50%),-0.711,-2.05,-0.718,-1.97,66
Large (top 50%),0.034,0.11,-0.011,-0.04,66
Micro (bottom 30%),-0.983,-2.46,-0.975,-2.33,66
Big (top 30%),-0.234,-0.69,-0.295,-0.88,66
