corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y
01065536,2015,33901440.0,-42441132.0,12862344786.0,,-55117370.0,,215750.0,미래에셋제3호기업인수목적,,
01065536,2016,56604043.0,136948346.0,12940884411.0,0.0,,12862344786.0,215750.0,미래에셋제3호기업인수목적,,
00636045,2015,265058527890.0,-14416453596.0,492666167053.0,154258685791.0,195229659783.0,564058345109.0,110570.0,넥솔론,,
00632331,2015,-969472146.0,-2381542881.0,17343097806.0,13093092837.0,6614145887.0,9950424303.0,189700.0,디피앤케이,,
01111057,2015,343171649.0,-2303794032.0,10107693363.0,10461845110.0,6930423575.0,4630296961.0,232290.0,에스지에이시스템즈,,
00823687,2015,-11652000.0,,1394168000.0,1148712000.0,944543000.0,1306091000.0,900130.0,웨이포트유한공사,,
00823687,2016,-10125000.0,,1347689000.0,1040153000.0,822528000.0,1394168000.0,900130.0,웨이포트유한공사,,
00855145,2015,-6860277733.0,5932854527.0,36861967800.0,6462527764.0,,47329499725.0,139200.0,하이골드오션2호선박투자회사,,
00110495,2015,-112854032931.0,-36254467915.0,1235997451412.0,1010077054566.0,870477386702.0,2106649715909.0,5620.0,대성합동지주,,
00110495,2016,-130023577844.0,19716442548.0,1123048451802.0,852584992828.0,739938947745.0,1235997451412.0,5620.0,대성합동지주,,
00722500,2015,-572315798.0,-187848247.0,3697872516.0,787326949.0,694290388.0,3536667887.0,900050.0,중국원양자원유한공사,,
00722500,2016,-1512742436.0,335711608.0,3173177921.0,753029798.0,1587126219.0,3697872516.0,900050.0,중국원양자원유한공사,,
00533678,2015,574242053.0,573592808.0,9825727622.0,654765900.0,,9821849365.0,83620.0,아시아퍼시픽15호선박투자회사,,
00533678,2016,575815280.0,577346641.0,9826007512.0,662705356.0,,9825727622.0,83620.0,아시아퍼시픽15호선박투자회사,,
01047716,2015,10482726.0,17025916.0,5424882079.0,0.0,,5390561572.0,208870.0,하나머스트3호기업인수목적,,
01047716,2016,1738885.0,24226638.0,5444233322.0,,,5424882079.0,208870.0,하나머스트3호기업인수목적,,
00686147,2015,12303950046.0,-11878878756.0,155886022558.0,187120216881.0,158057685266.0,108655702012.0,104120.0,신성에프에이,,
00686068,2015,3227196154.0,6375992708.0,151717812866.0,209377830746.0,180458219828.0,131201371149.0,104110.0,신성이엔지,,
00163619,2015,1579875103.0,11439754323.0,122079823072.0,79727795480.0,68731901316.0,120596288123.0,61460.0,한진피앤씨,,
00163619,2016,9732164750.0,2224273597.0,123260927887.0,91204419988.0,78470096751.0,122079823072.0,61460.0,한진피앤씨,,
00267960,2015,-68938577938.0,-7553914902.0,129881897484.0,18145849048.0,17285853057.0,219654789392.0,36500.0,에스에스컴텍,,
00267960,2016,-53209819504.0,-31157187832.0,33933353470.0,52526429695.0,49950895670.0,129881897484.0,36500.0,에스에스컴텍,,
00529310,2015,475697556.0,475597438.0,8076640269.0,524685171.0,,8074104412.0,83350.0,동북아10호선박투자회사,,
00529310,2016,477000799.0,477352330.0,8082292208.0,528360092.0,,8076640269.0,83350.0,동북아10호선박투자회사,,
00413824,2015,-16893205000.0,-17932044132.0,94097710100.0,41747398607.0,30492040407.0,81164751546.0,86200.0,제이앤유글로벌,,
01089828,2015,26769849.0,-10077886.0,13852422165.0,0.0,0.0,,221200.0,유진기업인수목적3호,,
01089828,2016,127483548.0,154808782.0,14017106599.0,0.0,0.0,13852422165.0,221200.0,유진기업인수목적3호,,
00130949,2015,50278855042.0,78535051807.0,362792050192.0,357640656211.0,,303885364081.0,16170.0,카카오엠,,
00130949,2016,62142777182.0,96982474400.0,453850490854.0,450645544059.0,,362792050192.0,16170.0,카카오엠,,
00130949,2017,67688435069.0,115624098136.0,543107137694.0,580332777304.0,,453850490854.0,16170.0,카카오엠,,
00202778,2015,-15290634707.0,1028934418.0,117371607036.0,46764328956.0,45056061817.0,64682431309.0,51170.0,썬코어,,
00202778,2016,-37069403356.0,-3893657993.0,77473687002.0,43487814441.0,43461981466.0,117371607036.0,51170.0,썬코어,,
00148717,2015,-4315628598.0,20453481021.0,727951594676.0,207890217005.0,183133836282.0,760171647669.0,8000.0,도레이케미칼,,
00148717,2016,21854084841.0,64616249520.0,713772955053.0,856457055850.0,724464182238.0,727951594676.0,8000.0,도레이케미칼,,
00148717,2018,25196924826.0,48695679979.0,780240497539.0,946151714215.0,835939638952.0,768686278228.0,8000.0,도레이케미칼,,
00447478,2015,-11597605402.0,820732720.0,38369792268.0,27979903867.0,31219625431.0,52303962575.0,95300.0,엔에스브이,,
00447478,2016,-11080892721.0,-2338200943.0,26547518783.0,16904406470.0,18987412021.0,38369792268.0,95300.0,엔에스브이,,
00163789,2015,-2736009372.0,26305334713.0,254216750159.0,138512463105.0,131955241913.0,270215369677.0,90730.0,심팩메탈,,
00163789,2016,6771303496.0,13313102019.0,253349177763.0,137543470935.0,124965863867.0,254216750159.0,90730.0,심팩메탈,,
00163789,2017,16550261144.0,8219047011.0,262850991188.0,229245382265.0,200257199302.0,253349177763.0,90730.0,심팩메탈,,
00838421,2015,52920339642.0,295450649275.0,2364855621498.0,1347313885448.0,1019400511204.0,2357385524199.0,130960.0,씨제이이앤엠,,
00838421,2016,60857852801.0,258777878860.0,2792954983825.0,1538423390983.0,1189547944765.0,2364855621498.0,130960.0,씨제이이앤엠,,
00838421,2017,421948665596.0,239177535259.0,3758919984666.0,1750120615318.0,1310027171498.0,2792954983825.0,130960.0,씨제이이앤엠,,
00842327,2015,197474764.0,379127582.0,2742824616.0,1498624843.0,1071035509.0,2309571156.0,900180.0,완리인터내셔널홀딩스,,
00842327,2016,125998031.0,360027022.0,2810015578.0,1257298833.0,891467029.0,2742824616.0,900180.0,완리인터내셔널홀딩스,,
00842327,2017,113219916.0,227214113.0,2901121408.0,1030974102.0,765524404.0,2810015579.0,900180.0,완리인터내셔널홀딩스,,
00156044,2015,90135600421.0,78581774632.0,879785693027.0,896318922279.0,414744119132.0,943767486711.0,24660.0,하림홀딩스,,
00156044,2016,61944338749.0,91215298050.0,1254720806893.0,998196046407.0,503217187925.0,879785693027.0,24660.0,하림홀딩스,,
00156044,2017,65623887861.0,77736993448.0,1213219363439.0,960087338237.0,464272291874.0,1254720806893.0,24660.0,하림홀딩스,,
00109170,2015,20965520675.0,,526338562903.0,523114222779.0,,536562500753.0,4130.0,대덕GDS,,
00109170,2016,9598473772.0,,513147462689.0,463195441524.0,,526338562903.0,4130.0,대덕GDS,,
00109170,2017,33656441786.0,48286920337.0,568656321682.0,482363638726.0,428196906569.0,513147462689.0,4130.0,대덕GDS,,
00207223,2015,-21298754498.0,-13812582286.0,41967789254.0,24005558860.0,13901967092.0,21951479572.0,26260.0,위너지스,,
00207223,2016,-49494135961.0,-16052865213.0,39155632202.0,30625155964.0,11460546525.0,41967789254.0,26260.0,위너지스,,
