corp_code,stock_code,corp_name
00104971,000470,그린손해보험
00269773,040180,대양글로벌
00334767,046720,엔하이테크
00453752,073930,제너시스템즈
00140919,015050,엘트온
00255840,036210,태산엘시디
00133034,012090,성원건설
00161028,004550,대우송도개발
00174475,018410,현대금속
00251482,034010,트라이써클
00824659,126680,아이비케이에스스마트에스엠이기업인수목적1호
00259536,037540,네스테크
00505198,080980,동북아5호선박투자회사
00679730,101990,파브코
00803504,122750,우리기업인수목적1호
00350118,054150,뉴젠아이씨티
00352295,041630,인젠
00240088,036920,지앤에스티
00560025,090540,코크렙제8호위탁관리부동산투자회사
00140380,003640,유니온스틸
00101275,001670,경남모직
00797674,121910,대우증권그린코리아기업인수목적회사
00244589,033850,지노시스템
00802028,123290,한국투자신성장1호기업인수목적회사
00371519,066060,휴먼텍코리아
00126593,071660,에스에스씨피
00220181,089480,평산
00254009,036610,지디코프
00505541,081190,아시아퍼시픽2호선박투자회사
00240398,034510,무한투자
00828309,128910,동부티에스블랙펄기업인수목적
00349468,053040,블루젬디앤씨
00808262,123300,부국퓨쳐스타즈기업인수목적
00252393,049000,예당컴퍼니
00229818,032420,터보테크
00154189,008540,케이비물산
00680161,900030,연합과기공고유한공사
00102645,012410,글로스텍
00844884,950070,중국고섬공고유한공사
00592592,093410,코리아퍼시픽06호선박투자회사
00268437,010670,나노트로닉스
00798284,121950,미래에셋제1호기업인수목적
00164195,037380,에이원마이크로
00264811,045470,에이프로테크놀로지
00676380,110310,모린스
00543231,091690,디지텍시스템스
00122436,011800,배명금속
00505189,080970,동북아4호선박투자회사
00271413,040020,사라콤
00245296,065610,폴리플러스
00480905,085990,영찬테크
00890333,149130,케이비부국제1호개발전문위탁관리부동산투자회사
00510534,081930,아시아퍼시픽8호선박투자회사
00150855,007200,진흥저축은행
00173634,009010,에듀언스
00830377,900150,성융광전투자유한공사
00224567,066300,샤인시스템
00582054,081090,씨모텍
00125929,014900,에스컴
00502793,080180,아시아퍼시픽1호선박투자회사
00505550,081200,아시아퍼시픽3호선박투자회사
00104704,025610,한국저축은행
00361035,056710,미리넷
00630111,900010,3노드디지탈그룹유한공사
00264802,038720,유일엔시스
00399773,064420,케이피케미칼
00257529,041030,이루넷
00804114,123550,대신증권그로쓰알파기업인수목적
00416706,071530,유에이블
00173324,019120,경윤하이드로에너지
00121729,004010,롯데미도파
00808226,124050,한화에스브이명장제1호기업인수목적
00162577,019260,셀텍
00812229,123910,에스비아이앤솔로몬드림기업인수목적
00351153,056810,위다스
00126885,008080,에스와이코퍼레이션
00264741,042820,어울림네트웍스
00266989,038120,에이디모터스
00260693,037240,평안물산
00267951,013780,아큐텍
00804983,123160,히든챔피언제1호기업인수목적
00502474,080030,동북아2호선박투자회사
00579379,105070,금강제강
00264857,041060,아라온테크
00375302,053000,우리금융지주
00264848,042340,대국
00251190,034600,글로웍스
00694003,900060,중국식품포장유한공사
00505170,080960,동북아3호선박투자회사
00259439,035450,지아이바이오
00207436,046430,알에스넷
00408585,072530,나이스메탈
00115038,003330,하나IB증권
00288653,042570,퓨쳐비젼
00303837,045310,이레전자산업
00330017,047420,레이더스컴퍼니
00264769,038810,포이보스
00308948,053890,미디어코프
00321222,073780,케이디세코
00361202,066200,이노블루
00450728,078610,도움
00535773,081500,엑스씨이
00152950,011020,코오롱유화
00296069,050600,세라온홀딩스
00521956,083160,현대경매부동산일호투자회사
00360540,060550,우수씨엔에스
00593519,093730,동북아31호선박투자회사
00194372,032050,후야인포넷
00154693,036900,이레아이엔씨
00106650,005330,카스코
00368791,064720,모델라인
00220552,035270,청람디지탈
00294371,041940,한텔
00353683,053170,코스모스피엘씨
00252375,071360,나노하이텍
00260903,036360,쓰리소프트
00261461,038410,트라이콤
00265218,036760,케이엔에스홀딩스
00471989,076170,지비에스
00306986,065910,피더블유제네틱스
00356644,054440,엠텍반도체
00305695,056060,세니콘
00257051,065810,유씨아이콜스
00459589,073530,코크렙제3호CR리츠
00366164,057110,아이티센네트웍스
00436728,072450,리얼티코리아제1호기업구조조정부동산투자
00136235,003990,BHK
00328854,048270,포넷
00120960,009890,맥슨텔레콤
00119733,032590,엔토리노
00119423,033330,두림티앤씨
00557067,089170,동북아27호선박투자회사
00557058,089180,동북아28호선박투자회사
00557030,089200,동북아30호선박투자회사
00557049,089190,동북아29호선박투자회사
00244330,038960,현주컴퓨터
00120100,012990,LG석유화학
00246657,058680,오브제
00130037,009790,휴닉스
00405074,066330,세이프아시아
00398534,067910,코크렙제1호기업구조조정부동산투자회사
00165200,005760,위너스인프라인
00150183,015670,AP우주통신
00268482,044370,조이토토
00363033,060660,한도하이테크
00364227,055970,에너윈
00458915,073470,유레스메리츠제1호
00386876,064900,교보메리츠퍼스트기업구조조정부동산투자회사
00543073,085450,굿앤리치부동산공경매투자회사1호
00160445,025830,한국합섬
00554468,088510,굿앤리치부동산공경매투자회사2호
00165565,016040,디에스피이엔티
00300256,037060,시큐어소프트
00138491,001830,동부일렉트로닉스
00102821,003660,고려시멘트
00377814,060410,베스트플로우
00364670,056020,쿨투
00143013,012460,우영
00263991,041310,모빌링크텔레콤
00105183,010200,극동제혁
00173254,025450,한마음상호저축은행
00101637,009220,그로웰전자
00124513,003930,부흥
00154417,009080,퍼시픽글라스
00119362,008780,아이인프라
00140353,016970,씨크롭
00170451,038400,외환신용카드
00267793,033210,삼화기연
00260639,037250,대흥멀티미디어통신
00153852,018180,텔슨정보통신
00248956,036820,비이티
00390028,063510,코오롱인터내셔널
00260888,037750,엔써커뮤니티
00275710,039000,써미트테크놀로지
00172103,027440,코리아이앤디
00263955,038050,트래픽아이티에스
00261601,035870,호성
00265254,037220,넥스텔
00255266,037730,쓰리알
00259916,035780,그로웰텔레콤
00131434,001150,서통
00271352,043690,테크메이트
00244932,036020,한아시스템
00348052,053250,엔에스아이
00367598,055810,케이티씨텔레콤
00267720,054530,신한SIT
00147949,004190,스마텔
00203458,025690,동방라이텍
00130000,008030,아이텍스필
00145534,032180,이수세라믹
00425360,070540,코크렙제2호기업구조조정부동산투자회사
00141334,002850,영풍산업
00384452,048150,모닷텔
00103583,003590,광덕물산
00162142,005890,동원증권
00236021,054080,우주통신
00106483,019930,기라정보통신
00208374,027350,텔슨전자
00309983,048540,하이콤정보통신
00277727,037500,미래에셋굿라이프혼합형자녀를위한펀드5-1
00136217,006150,한메엔에스
00229827,038980,이지클럽
00247902,037010,넷컴스토리지
00318477,046000,모디아
00246815,037650,성진산업
00260921,038100,아이엠아이티
00247762,036880,맥시스템
00350224,056500,슈마일렉트론
00101992,006750,센추리
00151614,009360,베네데스하이텍
00179832,032610,에스오케이
00241120,036910,세원텔레콤
00277985,036060,한강구조조정기금
00325918,036590,케이엔티
00110981,009940,대아리드선
00104467,031150,국민은행
00257361,047610,월드텔레콤
00358730,054370,업필
00248406,045920,화림모드
00110963,000380,대아건설
00267021,042960,창민테크
00330406,049370,씨제이엔터테인먼트
00110079,027700,대백쇼핑
00141440,036600,지니웍스
00135670,001580,신광기업
00144933,023420,유진종합개발
00371139,066480,휘튼
00218654,031970,엠바이엔
00115852,002950,두산건설
00113696,001980,대호
00253514,037120,한신코퍼레이션
00105509,010730,금강화섬
00163178,001280,우리증권
00264185,039580,피코소프트
00265157,035960,바이오시스
00270405,039390,윌텍정보통신
00125406,002930,삼도물산
00258731,035910,현대멀티캡
00822572,144630,씨아이에스
00580603,090970,코리아퍼시픽01호선박투자회사
00580612,090980,코리아퍼시픽02호선박투자회사
00317830,086830,신양오라컴디스플레이
00311030,037620,미래에셋증권
00439053,050640,이룸지엔지
00992312,194860,에스와이이노베이션
00580621,090990,코리아퍼시픽03호선박투자회사
00580630,091000,코리아퍼시픽04호선박투자회사
00262123,050050,유아이에너지
00533696,083610,아시아퍼시픽14호선박투자회사
00533757,083600,아시아퍼시픽13호선박투자회사
00533580,083570,아시아퍼시픽10호선박투자회사
01041217,204760,현대에이블기업인수목적1호
00533793,083580,아시아퍼시픽11호선박투자회사
00533836,083590,아시아퍼시픽12호선박투자회사
00144766,004320,호반산업
00525527,082930,실리콘화일
00372989,058370,비엔씨컴퍼니
00529523,083360,동북아11호선박투자회사
00526474,083390,동북아14호선박투자회사
00302801,074130,디아이디
00124018,025270,부산방직공업
00255071,034750,현대에이치씨엔동작방송
00364926,065270,플렉스컴
00350491,160350,웹솔루스
00450214,088700,마이스코
01022054,222520,솔트웍스
00164955,011720,현대페인트
00790501,117930,한진해운
00272412,045050,글라소울
00207542,025930,팬택자산관리
00394778,068150,케이엔씨글로벌
00446460,078780,아이디에스
00188946,017170,훈영
00137702,007190,한솔아트원제지
00418476,074150,엠제이비
00587101,092630,바다로3호선박투자회사
00351047,053810,아이팩토리
00778040,114130,거북선5호선박투자회사
00778059,114140,거북선6호선박투자회사
00126229,000830,삼성물산
00496003,082390,피엘에이
00359030,063840,닉스테크
00510914,081940,아시아퍼시픽9호선박투자회사
00697329,108890,거북선4호선박투자회사
00149664,015110,중앙건설
00318839,042950,미래에셋새천년코리아벤처펀드일호
00130897,002860,하나은행
00183260,071930,에이스하이텍
00246347,039850,태창파로스
00599230,950010,평산차업집단유한공사
00970277,179280,스탠다드펌
00122922,002530,벽산건설
00116860,016420,NH농협증권
00505569,081210,아시아퍼시픽4호선박투자회사
00160612,025850,한화화인케미칼
00659435,224090,정다운
00232317,033030,지오엠씨
00130860,031950,에듀패스
00113632,026230,아이디에이치
00837680,134000,거북선7호선박투자회사
00130815,016560,서울상호저축은행
00248123,040670,와이즈파워
00788807,121550,코크렙제15호기업구조조정부동산투자회사
00270432,043890,티브로드한빛방송
00648697,102000,거북선3호선박투자회사
00165529,013450,동성하이켐
00419989,067130,클루넷
00637114,099210,코리아퍼시픽07호선박투자회사
00361114,056340,씨유전자
00125628,158380,삼목강업
00265227,037630,에스비엠
00267669,044440,솔빛미디어
00693800,119250,에프지엔개발전문자기관리부동산투자회사
00991012,187770,판타지오
00164469,010520,현대하이스코
00586652,092970,거북선1호선박투자회사
00345657,052350,코아에스앤아이
00810531,181980,자원메디칼
00127370,026250,삼우이엠씨
00261124,038320,어울림정보기술
00244729,035210,티브로드도봉강북방송
00138127,008900,티이씨앤코
00156521,010460,화인자산관리
00120377,000420,로케트전기
00136970,014350,신일건업
