cik,sic
94049,2840.0
94344,6361.0
94845,2300.0
95029,3480.0
95574,2300.0
95953,2800.0
96021,5140.0
96223,6211.0
96536,3569.0
96869,6500.0
96943,3841.0
97134,3580.0
97210,3825.0
97216,3537.0
97476,3674.0
97745,3829.0
98222,4400.0
98362,3562.0
98677,2060.0
99302,3825.0
99780,3743.0
100378,3560.0
100493,2015.0
100517,4512.0
100591,1700.0
100726,2200.0
100885,4011.0
101199,6331.0
101295,2844.0
101382,6021.0
101538,3330.0
101594,1311.0
101829,3724.0
101984,3651.0
102037,5150.0
102109,5065.0
102212,6022.0
102729,3440.0
102752,8711.0
103145,3559.0
103379,2320.0
103595,5411.0
103730,3670.0
104169,5331.0
104889,8200.0
104894,6798.0
104918,4931.0
105016,5070.0
105132,2890.0
105319,7200.0
105418,5411.0
105634,1731.0
105744,1311.0
105770,3841.0
106040,3572.0
106532,5130.0
106535,6798.0
106640,3630.0
107140,2731.0
107263,4922.0
107687,3716.0
107815,4911.0
108312,3620.0
108385,6141.0
108516,3310.0
108985,4941.0
109177,3690.0
109198,5651.0
109380,6021.0
109563,5080.0
109657,2834.0
110471,3140.0
110621,2851.0
200406,2834.0
202058,3812.0
202947,6519.0
203596,6021.0
215466,1040.0
216085,5712.0
216228,3561.0
217346,3720.0
230557,6331.0
275053,2834.0
275880,7373.0
276720,4941.0
277135,5000.0
277509,3711.0
277948,4011.0
278165,7373.0
278166,2451.0
310142,2860.0
310158,2834.0
310354,3580.0
310522,6111.0
310764,3841.0
311094,6021.0
312257,5141.0
313143,3841.0
313616,3823.0
313927,2840.0
314203,1040.0
314227,2860.0
314489,6022.0
314808,1381.0
315189,3523.0
315213,7363.0
315293,6411.0
315374,3823.0
315545,2834.0
315709,6022.0
315852,1311.0
315958,7320.0
316709,6211.0
317540,2086.0
317788,6794.0
318154,2836.0
318299,7389.0
318300,6022.0
318306,2834.0
318673,6199.0
318833,7600.0
319201,3827.0
320017,2834.0
320121,7373.0
320187,3021.0
320193,3571.0
320335,6311.0
350698,5500.0
350852,6022.0
350894,6211.0
351569,6022.0
351998,3825.0
352541,4931.0
352825,5051.0
352915,8062.0
352955,1311.0
352991,6500.0
353184,4513.0
354190,6411.0
354647,6022.0
354707,4911.0
354950,5211.0
354963,4813.0
355811,3714.0
355948,5065.0
356037,7373.0
356171,6022.0
356309,4924.0
357173,6022.0
357294,1531.0
357301,6022.0
700564,6021.0
700565,6022.0
700841,7363.0
700923,1623.0
701347,6022.0
701719,5944.0
701985,5990.0
702165,4011.0
703351,5812.0
703604,5080.0
704440,3841.0
704532,3829.0
705432,6022.0
706129,6022.0
706698,3841.0
706863,6022.0
707179,6021.0
707549,3559.0
707605,6021.0
708781,7389.0
708821,3578.0
708955,6021.0
709005,5812.0
709283,3572.0
709337,6022.0
711034,1000.0
711377,2835.0
711404,3851.0
711669,6022.0
712034,2780.0
712534,6021.0
712537,6021.0
712770,6798.0
712771,6022.0
713676,6021.0
714256,3842.0
714310,6021.0
714395,6022.0
714562,6022.0
714712,6022.0
715072,6022.0
715446,2834.0
715579,6022.0
715787,2273.0
715957,4911.0
716314,3560.0
716634,7830.0
716643,7200.0
717423,1311.0
717538,6021.0
717605,2821.0
717720,6282.0
717806,6022.0
717954,7200.0
718332,5140.0
718413,6021.0
718937,3851.0
719135,3841.0
719220,6022.0
719402,6022.0
719413,1400.0
719733,3672.0
719955,5700.0
720005,6211.0
720500,3559.0
720672,6211.0
720762,3760.0
720858,6361.0
721371,5122.0
721693,7389.0
721994,6022.0
722313,3679.0
722572,3661.0
723125,3674.0
723188,6021.0
723254,2320.0
723531,8700.0
723533,8742.0
723603,2211.0
723612,7510.0
723646,6022.0
724004,3823.0
724445,2835.0
724742,6512.0
724910,3674.0
725363,2836.0
725394,7363.0
726601,6022.0
726728,6798.0
726854,6021.0
726958,5500.0
727273,4941.0
727346,6798.0
727510,2836.0
728385,3829.0
728387,2834.0
728535,4213.0
729580,3677.0
729986,6022.0
730263,3716.0
730272,2836.0
730349,2024.0
730464,8200.0
730708,6022.0
731012,8050.0
731122,6022.0
731653,6022.0
731766,6324.0
731802,4924.0
732026,3559.0
732417,6022.0
732712,4813.0
732717,4813.0
733269,7374.0
733590,6798.0
736012,3576.0
736772,6022.0
737468,6022.0
737758,3524.0
737875,6022.0
738214,2860.0
739421,6022.0
740260,6798.0
740664,3678.0
740806,6022.0
742278,1389.0
743367,6022.0
744187,2860.0
744218,2835.0
744452,6199.0
744825,8071.0
745308,6552.0
745732,5651.0
746210,7370.0
746514,6513.0
746515,4731.0
746598,3990.0
746838,7373.0
747540,5065.0
748268,7372.0
748592,2834.0
749098,3714.0
749251,8741.0
749647,2834.0
750004,7373.0
750558,6022.0
750574,6022.0
750577,6022.0
750686,6021.0
751364,6798.0
751365,2531.0
751978,3679.0
752642,6798.0
752714,7359.0
753308,4911.0
754811,6282.0
755001,4931.0
759944,6022.0
760498,6021.0
761648,6798.0
763532,3640.0
763563,6022.0
763744,3714.0
763901,6022.0
763907,6021.0
764038,6022.0
764065,1000.0
764180,2111.0
764401,3310.0
764478,5731.0
764622,4911.0
764630,3690.0
765207,6021.0
765880,6798.0
766421,4512.0
766704,6798.0
766792,3559.0
766829,4941.0
767405,6022.0
768408,2833.0
768899,7363.0
769397,7372.0
769520,3580.0
770460,6022.0
771266,3674.0
771497,7340.0
771856,2836.0
771999,2650.0
772406,3674.0
773717,1400.0
773840,3724.0
774415,7380.0
775057,1311.0
775158,3711.0
775215,6022.0
776867,6331.0
776901,6022.0
778164,2860.0
779152,7373.0
779544,5812.0
780571,3825.0
783324,1040.0
783325,4931.0
783412,2711.0
784199,3841.0
784539,5065.0
784977,4911.0
785161,8060.0
785557,7363.0
785786,3672.0
785956,2052.0
787253,2833.0
788329,3949.0
788611,4700.0
788784,4931.0
788920,3841.0
788965,4911.0
789019,7372.0
789460,5172.0
789570,7011.0
789933,1221.0
790051,3060.0
790273,3663.0
790359,6021.0
790526,8071.0
790816,6798.0
791963,6211.0
792966,6035.0
792987,3531.0
793074,4213.0
793306,1311.0
793524,6794.0
793733,4512.0
793952,3751.0
794170,1531.0
794367,5311.0
795266,1531.0
795403,3490.0
796343,7372.0
796505,3661.0
796534,6021.0
797465,6798.0
797468,1311.0
797542,7372.0
797564,2834.0
797721,4899.0
798081,3842.0
798287,4213.0
798354,7389.0
798359,6798.0
798528,4400.0
798783,6798.0
798941,6022.0
799165,1382.0
799167,4213.0
799233,4213.0
799288,5651.0
799292,1531.0
799850,5500.0
800457,6331.0
802257,7370.0
802481,2015.0
803016,6021.0
803164,6022.0
803578,7372.0
804328,3663.0
805676,6021.0
805928,3845.0
806172,3559.0
807863,3577.0
807882,5812.0
808439,3724.0
810136,3674.0
810332,4512.0
810958,6022.0
811156,4931.0
811222,8011.0
811589,6022.0
811596,3350.0
811641,2835.0
811830,6021.0
812011,7990.0
812074,3221.0
812152,6770.0
812306,2834.0
812796,2834.0
813298,5651.0
813672,7372.0
813716,2080.0
813762,2911.0
814453,3089.0
814547,7389.0
814585,6351.0
814586,2020.0
814676,3260.0
814926,3640.0
815097,4400.0
815556,5200.0
816761,7372.0
816956,3845.0
817720,3674.0
818033,2834.0
818479,3843.0
818677,6022.0
818686,2834.0
819793,2221.0
819926,7373.0
820027,6282.0
820313,3678.0
820318,3827.0
820771,7822.0
821002,2300.0
821026,5150.0
821130,4812.0
821189,1311.0
821483,1311.0
822370,2834.0
822416,1531.0
822663,2844.0
822818,4955.0
823277,5150.0
823768,4953.0
824142,3585.0
824416,5190.0
825313,6282.0
825324,5812.0
825542,2870.0
826154,6022.0
826253,3690.0
826675,6798.0
827052,4911.0
827054,3674.0
827099,4931.0
827187,2510.0
827876,6199.0
828146,3577.0
828944,6021.0
829224,5810.0
829323,7310.0
829365,6500.0
830616,3620.0
831001,6021.0
831259,1000.0
831609,2833.0
831641,8711.0
832101,3561.0
832428,4833.0
832480,6311.0
832489,2834.0
832988,5944.0
833079,1531.0
833444,3585.0
833640,3674.0
834365,3845.0
835011,5180.0
835324,6022.0
835662,5912.0
836157,3523.0
836564,2836.0
836690,7371.0
837465,3949.0
838875,2080.0
839087,3845.0
839470,1000.0
840489,5900.0
840715,3661.0
842023,2836.0
842162,3714.0
842517,6022.0
842633,3460.0
842717,6022.0
843006,8742.0
844059,6500.0
844856,2100.0
844965,1311.0
844985,3845.0
845385,
845819,4899.0
845877,6111.0
846377,6153.0
846617,6021.0
846913,3564.0
847942,6199.0
849145,7389.0
849146,2834.0
849399,7372.0
849401,3845.0
849869,3411.0
850141,6331.0
850429,3350.0
851205,3823.0
851310,3663.0
851520,8742.0
851968,2273.0
853816,4213.0
854560,6022.0
854775,3576.0
855658,3674.0
855683,3842.0
856982,3841.0
856984,3841.0
857005,7372.0
857855,6022.0
858877,3576.0
859070,6022.0
860413,6022.0
860546,6798.0
860730,8062.0
860731,7372.0
860748,6331.0
861459,1600.0
861842,6022.0
861884,5051.0
862651,7389.0
862668,3845.0
862692,8090.0
862831,6021.0
862861,6221.0
863110,4941.0
863436,3672.0
863894,2834.0
864240,3823.0
864749,3829.0
865752,2086.0
866273,1700.0
866291,3674.0
866374,3672.0
866439,7372.0
866706,3669.0
866729,2731.0
866787,5531.0
866829,1389.0
867038,1311.0
867840,3845.0
868278,2834.0
868671,6022.0
868780,3714.0
868857,8711.0
871763,7363.0
872589,2834.0
872912,3841.0
873303,2834.0
873860,6162.0
874015,2834.0
874238,1600.0
874396,3420.0
874499,1311.0
874501,6351.0
874716,2835.0
874761,4991.0
874766,6331.0
874866,6411.0
875045,2836.0
875320,2834.0
875355,100.0
875357,6021.0
875582,3470.0
875657,3690.0
875729,2870.0
876167,7372.0
876343,2836.0
876427,7500.0
876437,6351.0
876523,5900.0
876779,7372.0
876883,7311.0
877212,3560.0
877860,6798.0
878927,4213.0
878932,
879101,6798.0
879169,8731.0
879407,2834.0
879526,3715.0
879585,4813.0
879635,6022.0
879911,3812.0
880117,2060.0
880242,2800.0
880266,3523.0
880417,6022.0
880631,6211.0
880641,6022.0
880807,3621.0
880984,8711.0
882095,2836.0
882184,1531.0
882291,3841.0
882508,3674.0
882796,2836.0
882835,3823.0
883107,2844.0
883237,6282.0
883241,7372.0
883569,3873.0
883948,6022.0
883975,3841.0
883984,3841.0
884144,7373.0
884219,7990.0
884269,3842.0
884614,4932.0
884624,3841.0
884887,4400.0
885245,5651.0
885275,6021.0
885307,5211.0
885462,2800.0
885508,6552.0
885550,6141.0
885590,2834.0
885639,5311.0
885725,3841.0
885978,8000.0
886128,3620.0
886136,4832.0
886163,2834.0
886206,8741.0
886346,3550.0
886744,2834.0
886982,6211.0
887151,5030.0
887343,6022.0
887359,2836.0
887396,1311.0
887596,5812.0
887733,5190.0
887905,6798.0
887936,8742.0
888491,6798.0
888981,3944.0
889331,3613.0
889348,3728.0
889609,6199.0
889900,1381.0
889971,3674.0
890066,6022.0
890394,3674.0
890541,6029.0
890564,7363.0
890821,2834.0
890926,6351.0
891014,2810.0
891103,7370.0
891166,6331.0
891482,7011.0
891532,4955.0
893538,1311.0
893847,6021.0
893949,8060.0
894158,2834.0
894315,6798.0
894405,4213.0
894501,7373.0
894556,2800.0
894627,1311.0
894671,6022.0
894871,4841.0
895126,1311.0
895417,6798.0
895419,3674.0
895421,6211.0
895447,5661.0
895456,3140.0
895464,3845.0
896156,2511.0
896159,6331.0
896264,2833.0
896493,3533.0
896622,3089.0
896878,7372.0
897077,3523.0
897078,7372.0
897322,3663.0
897448,2834.0
897723,3672.0
898171,6022.0
898173,5531.0
898174,6311.0
898293,3672.0
898437,3841.0
899051,6331.0
899460,2834.0
899629,6798.0
899689,6798.0
899751,3312.0
899923,2835.0
900075,5500.0
901491,5812.0
902791,7363.0
903129,3714.0
903419,6021.0
903651,7374.0
906107,6798.0
906163,1531.0
906345,6798.0
906465,6022.0
906553,7011.0
906709,2834.0
907242,7011.0
907254,6798.0
907471,6021.0
907654,2834.0
908255,3714.0
908259,2834.0
908311,6798.0
908315,5900.0
908937,4832.0
909494,7374.0
909724,3100.0
909832,5331.0
910073,6036.0
910108,6798.0
910329,2090.0
910406,2000.0
910521,3021.0
910606,6798.0
910612,6798.0
910638,7372.0
911147,7011.0
911177,4953.0
911216,2834.0
911421,6321.0
911971,4412.0
912061,5190.0
912093,3674.0
912242,6798.0
912544,5990.0
912562,3310.0
912593,6798.0
912595,6798.0
912615,5651.0
912728,4731.0
912766,8200.0
912767,2421.0
913142,3357.0
913144,6331.0
913241,3140.0
913277,3949.0
913290,4412.0
913341,6022.0
913353,6500.0
913760,6200.0
914122,3564.0
914139,3663.0
914156,3841.0
914208,6282.0
914475,2836.0
915389,2821.0
915779,3990.0
915840,1531.0
915913,2821.0
916076,1400.0
916365,5200.0
916540,2070.0
916789,3634.0
916793,3576.0
916907,6036.0
917225,1040.0
917251,6798.0
917273,3674.0
917520,3841.0
917851,1000.0
918251,3714.0
918541,3540.0
918573,1311.0
918646,3241.0
918965,5045.0
919012,5651.0
919864,6035.0
920148,8071.0
920371,3420.0
920427,6022.0
920522,6798.0
920760,1520.0
921082,6798.0
921114,2836.0
921299,2834.0
921557,6022.0
921582,3861.0
921638,6795.0
921738,7011.0
921825,6798.0
922224,4911.0
922358,5900.0
922621,6411.0
922864,6798.0
923120,3743.0
923601,7373.0
923796,1520.0
924095,6199.0
924168,3640.0
924383,3651.0
924396,6199.0
924515,3845.0
924719,3272.0
924805,6211.0
924822,3713.0
925528,5080.0
925741,2836.0
926282,3661.0
926326,3571.0
926423,3812.0
926617,2835.0
927003,3679.0
927066,8090.0
927628,6021.0
927653,5122.0
928054,2890.0
928340,4941.0
928465,5141.0
928658,4213.0
928876,3674.0
929008,5063.0
929351,7812.0
930236,6798.0
930245,5900.0
930420,7363.0
930775,3841.0
931015,3790.0
931148,3620.0
931182,6798.0
932021,3663.0
932696,5961.0
932781,6022.0
932787,3674.0
933034,3714.0
933036,7359.0
933972,3621.0
933974,3559.0
934549,6794.0
935036,7372.0
935419,5812.0
935703,5331.0
936340,4911.0
936395,3661.0
936468,3760.0
936528,6021.0
937098,7389.0
939767,2836.0
939930,5150.0
940942,4731.0
940944,5812.0
942126,5065.0
943034,3829.0
943452,3743.0
943535,7372.0
943819,3841.0
944075,3571.0
944148,7389.0
944695,6331.0
944745,6022.0
944809,2834.0
945114,5084.0
945394,6798.0
945841,5090.0
945983,5045.0
946486,2836.0
946563,3841.0
946581,7372.0
946644,2836.0
946673,6022.0
946936,3089.0
947484,6331.0
948320,8011.0
948708,7372.0
949157,3334.0
949858,2835.0
949870,2082.0
949961,6798.0
1000045,6153.0
1000177,4400.0
1000209,6199.0
1000228,5047.0
1000230,3357.0
1000623,2621.0
1000694,2836.0
1000697,3826.0
1000753,7363.0
1001115,3829.0
1001171,6035.0
1001233,2836.0
1001250,2844.0
1001316,2834.0
1001385,3317.0
1001601,6199.0
1001614,1311.0
1001838,1000.0
1001907,3826.0
1002047,3572.0
1002590,5990.0
1002638,7373.0
1002910,4931.0
1003078,5084.0
1003935,7372.0
1004434,6282.0
1004702,6021.0
1004724,6519.0
1004980,4931.0
1004989,7389.0
1005101,6199.0
1005210,5900.0
1005229,3531.0
1005284,3670.0
1005286,2834.0
1005516,3576.0
1005731,4813.0
1005817,6022.0
1006028,2890.0
1006045,3845.0
1006281,2836.0
1006655,1311.0
1006830,6021.0
1006837,3440.0
1007019,2090.0
1007587,4899.0
1009759,3510.0
1009829,3944.0
1009891,3728.0
1009922,1382.0
1010086,2834.0
1010134,7389.0
1010470,6035.0
1011060,8742.0
1011509,1040.0
1012019,5500.0
1013237,7370.0
1013272,6022.0
1013488,5812.0
1013857,7374.0
1013871,4911.0
1013880,7363.0
1013934,8200.0
1014052,7374.0
1014473,7371.0
1014739,8082.0
1014763,3577.0
1015328,6022.0
1015383,7389.0
1015739,7372.0
1015820,2836.0
1015922,7372.0
1016178,6035.0
1016281,7200.0
1016504,2834.0
1016838,3577.0
1017303,3577.0
1017655,7389.0
1018164,5080.0
1018724,5961.0
1018840,5651.0
1018963,3317.0
1018979,6331.0
1019034,7372.0
1019849,5500.0
1020214,3841.0
1020569,6798.0
1020710,5084.0
1020859,5141.0
1021561,5122.0
1021635,4911.0
1021860,3533.0
1021917,6512.0
1022079,8071.0
1022321,4610.0
1022408,5045.0
1022505,7374.0
1022652,3669.0
1022671,3312.0
1022899,2834.0
1023024,2834.0
1023128,5500.0
1023313,8700.0
1023458,6500.0
1023459,7373.0
1023731,7374.0
1023994,5030.0
1024305,2844.0
1024478,3829.0
1024672,3672.0
1024795,3490.0
1025378,6798.0
1025771,700.0
1025835,6022.0
1025996,6798.0
1026214,6111.0
1026655,3089.0
1026662,5040.0
1026785,3490.0
1026980,3357.0
1027664,3728.0
1027838,3841.0
1029199,6099.0
1030192,1040.0
1030469,6022.0
1030471,3669.0
1031093,1000.0
1031203,5500.0
1031235,6798.0
1031296,4911.0
1031308,7372.0
1031316,6798.0
1032033,6141.0
1032208,4932.0
1032220,7389.0
1032975,3577.0
1034054,6798.0
1034670,3714.0
1034760,7373.0
1034842,2834.0
1035002,2911.0
1035092,6021.0
1035201,4941.0
1035267,3842.0
1035354,2836.0
1035422,2834.0
1035443,6798.0
1035983,1731.0
1036044,3577.0
1036262,3825.0
1037038,2320.0
1037540,6798.0
1037646,3826.0
1037868,3823.0
1037976,6531.0
1038074,3674.0
1038277,3823.0
1038773,6021.0
1039065,3674.0
1039280,7372.0
1039399,3674.0
1039684,4923.0
1039828,6311.0
1040130,5912.0
1040161,7372.0
1040470,3825.0
1040829,6798.0
1040896,7372.0
1040971,6798.0
1041024,2834.0
1041061,5812.0
1041368,6035.0
1041514,6099.0
1041657,4832.0
1041803,5331.0
1041859,5651.0
1042046,6331.0
1042187,3060.0
1042418,2834.0
1042729,6022.0
1042776,6512.0
1042893,3533.0
1043000,8050.0
1043150,1520.0
1043186,4924.0
1043219,6798.0
1043277,4731.0
1043337,3714.0
1043509,5500.0
1043961,3826.0
1044777,7373.0
1045450,6798.0
1045609,6798.0
1045742,5900.0
1045810,3674.0
1045942,3669.0
1045986,7371.0
1046025,6036.0
1046050,6036.0
1046102,7389.0
1046257,2040.0
1046311,7011.0
1046568,8200.0
1047127,3674.0
1047335,8051.0
1047340,100.0
1047716,4512.0
1047862,4931.0
1048268,1731.0
1048286,7011.0
1048477,2834.0
1048695,3576.0
1048911,4513.0
1049502,3823.0
1049521,3670.0
1049606,3420.0
1050140,7372.0
1050377,5045.0
1050441,6022.0
1050446,6199.0
1050743,6029.0
1050797,2300.0
1050915,1731.0
1051470,6798.0
1051512,4813.0
1051627,3674.0
1052354,6221.0
1052752,6500.0
1053369,2834.0
1053507,6798.0
1053691,2834.0
1053706,8111.0
1054102,3841.0
1054905,2800.0
1055160,6798.0
1055726,2834.0
1056288,6282.0
1056358,2833.0
1056696,7372.0
1056903,4941.0
1056943,6021.0
1057060,5531.0
1057352,7389.0
1057379,8742.0
1057706,6022.0
1057877,4911.0
1058090,5812.0
1058290,7371.0
1058307,4813.0
1058623,4832.0
1058811,3577.0
1059142,6199.0
1059556,7320.0
1060391,4953.0
1060822,2300.0
1060955,8731.0
1061069,4953.0
1061219,4922.0
1061630,6798.0
1061983,2834.0
1062231,3714.0
1062506,6770.0
1062579,7371.0
1062822,2834.0
1063761,6798.0
1064728,1221.0
1065059,1400.0
1065078,6794.0
1065088,7389.0
1065280,7841.0
1065696,5010.0
1066194,7372.0
1066684,7310.0
1066764,4911.0
1066923,7389.0
1067294,5812.0
1067701,7359.0
1067983,6331.0
1068689,7372.0
1068851,6022.0
1069157,6022.0
1069183,3480.0
1069202,3585.0
1069258,3760.0
1069394,2890.0
1069530,2834.0
1069533,4923.0
1069878,2400.0
1069899,2834.0
1070050,7372.0
1070081,2834.0
1070235,7372.0
1070296,6035.0
1070412,1311.0
1070423,4610.0
1070494,2834.0
1070524,6036.0
1070680,6021.0
1070750,6798.0
1070789,8711.0
1070985,6798.0
1071236,6022.0
1071739,6324.0
1071840,2860.0
1072379,2834.0
1072627,6331.0
1072725,1040.0
1074828,6199.0
1074871,3841.0
1074902,6021.0
1075415,6798.0
1075531,4700.0
1075706,6022.0
1075736,4813.0
1076930,3690.0
1077183,8734.0
1077428,6022.0
1077688,2510.0
1078075,7373.0
1078271,3576.0
1080014,2834.0
1080340,6798.0
1080448,1040.0
1080657,6798.0
1081745,7372.0
1081834,4832.0
1081938,2834.0
1082324,6794.0
1082554,2834.0
1082733,7371.0
1083220,6794.0
1083301,6199.0
1083446,8742.0
1083490,6513.0
1083522,2080.0
1083743,3690.0
1084048,4822.0
1084201,2834.0
1084267,7310.0
1084475,6500.0
1084551,6552.0
1084554,2810.0
1084765,7389.0
1084869,5990.0
1084961,6153.0
1084991,1389.0
1085243,3990.0
1085277,2834.0
1085913,6021.0
1086222,7389.0
1086303,3845.0
1086434,3661.0
1086600,1221.0
1086745,4899.0
1087294,2834.0
1087456,6021.0
1088034,6099.0
1088413,3559.0
1088856,2834.0
1089063,5940.0
1089815,8093.0
1089872,7812.0
1089907,6159.0
1090009,6021.0
1090012,1311.0
1090396,7990.0
1090425,6798.0
1090727,4210.0
1090872,3826.0
1091326,2834.0
1091587,3613.0
1091596,3841.0
1091667,4841.0
1092570,4813.0
1092699,7372.0
1092796,3480.0
1093557,3841.0
1093672,6022.0
1093691,3620.0
1094032,6411.0
1094038,2834.0
1094285,3812.0
1094366,7389.0
1094831,6200.0
1095073,6331.0
1095146,6199.0
1095435,6199.0
1095565,7370.0
1095651,6798.0
1095981,3841.0
1096056,2810.0
1096275,3714.0
1096296,1090.0
1096343,6331.0
1096752,2844.0
1096938,3842.0
1097149,3842.0
1097864,3674.0
1098009,2834.0
1098146,6021.0
1098151,6021.0
1098462,3674.0
1098482,6770.0
1098972,2836.0
1099160,4832.0
1099219,6311.0
1099234,7841.0
1099369,7372.0
1099590,7389.0
1099800,3842.0
1100682,8731.0
1101026,2836.0
1101215,6141.0
1101239,6798.0
1101302,3089.0
1101433,7389.0
1102238,6510.0
1102993,7372.0
1103090,3821.0
1103795,3533.0
1103833,5734.0
