Date,ASII,AXON,BRSL,BRVO,BUKS,CIRX,CODA,CWGL,DKNG,DRS,EDVA,GAMG,GRMN,HCMC,JSDA,KDP,KO,KTOS,LHX,LIMX,LMT,MALG,MDWK,MGPI,MIND,MNTS,MO,MOJO,MSGS,MTN,NIMU,NOC,NPK,OSW,PEP,PLNT,PM,PRKA,PRKS,PRSU,RGR,RSI,SAM,SRXH,STZ,SWBI,TBTC,TDY,TPB,WRAP,WVVIP,XXII
2013-01-01,7.5,8.369999885559082,7.729942321777344,45.0,0.20000000298023224,1.899999976158142,1.5260000228881836,,,2.184943199157715,,1.5499999523162842,25.052988052368164,23951048.0,0.25,5.1943864822387695,24.512662887573242,4.409999847412109,34.79708480834961,34.5,58.82918167114258,1.2012009620666504,0.0017999999690800905,3.2908401489257812,148.1999969482422,,14.563084602355957,2.0,,36.12055206298828,15.749999046325684,51.106754302978516,37.77363967895508,,48.04248809814453,,46.03166961669922,3.0,,18.546859741210938,30.93223762512207,,140.33999633789062,175804.625,27.127363204956055,5.408889293670654,0.6961437463760376,68.26000213623047,,,,194497200.0
2013-02-01,6.0,7.46999979019165,8.016609191894531,54.0,0.18000000715255737,1.7999999523162842,1.5077999830245972,8.050000190734863,,3.1297836303710938,,1.3899999856948853,22.718942642211914,19580420.0,0.25999999046325684,5.0272722244262695,25.486845016479492,4.230000019073486,36.20555114746094,16.5,60.389915466308594,1.2012009620666504,0.0017999999690800905,3.642801523208618,153.5,,14.506868362426758,3.359999895095825,,37.75402069091797,16.499998092651367,52.04353713989258,39.13318634033203,,50.32551193237305,,47.9061393737793,3.0,,18.24128532409668,33.27180862426758,,155.42999267578125,175804.625,37.08635711669922,6.006382942199707,0.5105053782463074,73.58000183105469,,,,156492000.0
2013-03-01,5.900000095367432,7.949999809265137,8.336889266967773,54.0,0.1899999976158142,1.2000000476837158,1.5679999589920044,9.300000190734863,,2.2439959049224854,,0.5699999928474426,22.131738662719727,18181818.0,0.3400000035762787,5.457779884338379,26.81169891357422,5.03000020980835,35.17753982543945,0.33000001311302185,66.23676300048828,1.2012009620666504,0.0017999999690800905,3.8646717071533203,169.1999969482422,,15.064120292663574,2.359999895095825,,42.735252380371094,17.999998092651367,55.58547592163086,41.45574188232422,,52.54391860961914,,48.85886764526367,4.0,,18.442466735839844,31.12883758544922,,159.63999938964844,137939.0,39.93657684326172,5.660466194152832,0.5847607254981995,78.44000244140625,,,,196732800.0
2013-04-01,3.4100000858306885,8.8100004196167,8.564260482788086,33.0,0.18000000715255737,0.6000000238418579,1.315999984741211,9.010000228881836,,2.204627275466919,,0.28999999165534973,23.491117477416992,14685315.0,0.4099999964237213,5.676324367523193,28.06476593017578,5.090000152587891,35.07126998901367,4.5,68.00044250488281,1.5015009641647339,0.0017999999690800905,4.353307247161865,148.5,,15.992753982543945,2.799999952316284,,41.350059509277344,34.04999923706055,60.014869689941406,38.62335968017578,,54.77560043334961,,50.37661361694336,4.0,29.43630599975586,17.368995666503906,31.460195541381836,,169.32000732421875,137939.0,41.37005615234375,5.522099494934082,0.47337764501571655,75.05999755859375,,,,134136000.0
2013-05-01,3.25,9.489999771118164,9.034156799316406,39.0,0.1599999964237213,0.800000011920929,1.7640000581741333,8.770000457763672,,2.598311185836792,,0.3499999940395355,23.390670776367188,20279720.0,0.5799999833106995,5.345022201538086,26.513347625732422,5.809999942779541,38.33144760131836,4.5,73.41248321533203,1.8018009662628174,0.0017999999690800905,4.753100395202637,156.10000610351562,,15.813154220581055,3.5999999046325684,,43.92158508300781,20.999998092651367,65.78046417236328,39.61726760864258,,53.64645004272461,,47.91023635864258,5.0,31.004491806030273,16.442203521728516,31.148679733276367,,152.83999633789062,137939.0,44.438228607177734,5.729648113250732,0.7889628410339355,77.22000122070312,,,,131900400.0
2013-06-01,3.25,8.520000457763672,8.486942291259766,57.0,0.1599999964237213,0.4000000059604645,1.2613999843597412,8.520000457763672,,2.89357328414917,,0.18000000715255737,24.540096282958984,39510488.0,0.6299999952316284,5.382730007171631,26.776716232299805,6.480000019073486,37.658546447753906,4.5,75.23690032958984,1.8018009662628174,0.0017999999690800905,5.295042514801025,167.8000030517578,,15.515739440917969,13.0,,42.32443618774414,17.999998092651367,66.10780334472656,37.093875885009766,,54.704593658447266,,46.100555419921875,3.0,30.913555145263672,16.4138126373291,29.761005401611328,,170.63999938964844,137939.0,43.6921272277832,6.276826858520508,0.8446542620658875,77.3499984741211,,,,158727600.0
2013-07-01,3.5,8.880000114440918,9.380841255187988,75.0,0.2199999988079071,0.8999999761581421,1.2768000364303589,9.0,,2.7360999584198,,0.38999998569488525,27.192901611328125,26573426.0,0.8799999952316284,5.47765588760376,26.756694793701172,6.739999771118164,43.638065338134766,5.400000095367432,83.32520294189453,1.2012009620666504,0.0017999999690800905,4.966322898864746,169.3000030517578,,15.54677963256836,13.199999809265137,,46.08081817626953,26.999998092651367,73.50098419189453,38.180477142333984,,55.87506103515625,,47.46304702758789,3.0,32.296302795410156,16.09918785095215,31.514190673828125,,178.97999572753906,97368.7109375,43.6670036315918,7.446658134460449,0.7425532341003418,80.16999816894531,,,,353224800.0
2013-08-01,3.4000000953674316,11.640000343322754,9.594158172607422,60.0,0.2199999988079071,0.5,1.190000057220459,9.399999618530273,,2.755784511566162,,0.4000000059604645,27.661041259765625,37062936.0,0.75,5.245613098144531,25.48828887939453,8.4399995803833,43.301612854003906,0.75,85.7201919555664,1.2012009620666504,0.0017999999690800905,4.477686882019043,175.60000610351562,,15.023526191711426,8.0,,46.78254699707031,51.75,74.15532684326172,35.523193359375,,53.326759338378906,,44.408111572265625,3.0,26.36019515991211,15.108469009399414,32.82701110839844,,211.83999633789062,97368.7109375,45.477745056152344,6.880610466003418,0.7425532341003418,77.16999816894531,,,,268272000.0
2013-09-01,2.490000009536743,14.880000114440918,9.660563468933105,60.0,0.17000000178813934,0.4000000059604645,1.399999976158142,9.550000190734863,,2.8345210552215576,,1.2000000476837158,30.982351303100586,26573426.0,0.6740000247955322,5.2980804443359375,25.471921920776367,8.279999732971191,45.6714973449707,0.75,89.31228637695312,1.2012009620666504,0.0017999999690800905,4.655374050140381,152.89999389648438,,15.44124984741211,12.399999618530273,,47.7319450378418,40.64999771118164,76.55831146240234,36.25961685180664,,53.55217742919922,,46.572357177734375,2.0,26.2642822265625,16.77668571472168,39.258270263671875,,244.2100067138672,97368.7109375,48.11835861206055,6.912057876586914,0.7611170411109924,84.93000030517578,,,,288392384.0
2013-10-01,1.9500000476837158,17.780000686645508,9.594220161437988,69.0,0.17000000178813934,0.4000000059604645,1.4279999732971191,8.75,,3.6809403896331787,,1.600000023841858,32.051910400390625,30769230.0,0.734000027179718,5.597147464752197,26.60833740234375,8.479999542236328,47.72016143798828,0.75,93.36650848388672,1.8018009662628174,0.0010000000474974513,4.699794769287109,166.39999389648438,,16.73588752746582,9.0,,48.61477279663086,51.0,86.40340423583984,36.33170700073242,,56.644065856933594,,47.93313217163086,2.0,26.618844985961914,17.953407287597656,41.00086212158203,,229.58999633789062,243421.78125,54.74093246459961,6.7862701416015625,0.6961437463760376,88.81999969482422,,,,259329600.0
